Employee_ID,Gender,Age,Education_Level,Employee_Satisfaction_Score
1,Male,55,High School,2.63
2,Male,29,High School,1.72
3,Male,55,High School,3.17
4,Female,48,Bachelor,1.86
5,Female,36,Bachelor,1.25
6,Male,43,High School,2.77
7,Male,37,Bachelor,4.46
8,Female,55,Bachelor,2.09
9,Female,55,High School,1.44
10,Female,45,Bachelor,2.93
11,Male,52,Bachelor,2.34
12,Male,27,Bachelor,1.96
13,Male,51,Bachelor,2.13
14,Male,27,Bachelor,1.46
15,Male,46,Master,2.22
16,Male,26,High School,2.42
17,Male,29,Bachelor,3.15
18,Other,28,High School,1.19
19,Other,56,Bachelor,1.12
20,Male,23,High School,3.91
21,Female,33,Bachelor,3.7
22,Male,59,Master,4.66
23,Male,26,High School,3.68
24,Male,58,Master,4.26
25,Female,38,Bachelor,4.43
26,Male,38,Bachelor,2.12
27,Male,45,Bachelor,3.16
28,Male,43,Master,1.35
29,Male,53,Bachelor,4.52
30,Male,52,High School,4.95
31,Male,58,Bachelor,4.65
32,Female,24,High School,1.95
33,Male,29,High School,4.43
34,Female,25,PhD,2.1
35,Male,41,Master,1.94
36,Female,42,Master,4.21
37,Male,43,High School,4.97
38,Other,46,Master,2.47
39,Male,48,Bachelor,2.66
40,Female,58,Bachelor,4.22
41,Female,44,Bachelor,2.9
42,Male,29,High School,4.84
43,Male,60,Bachelor,3.59
44,Female,43,High School,3.32
45,Female,46,Master,2.53
46,Female,29,High School,1.59
47,Male,32,Bachelor,1.27
48,Male,31,Bachelor,4.84
49,Male,40,High School,2.9
50,Other,57,High School,1.47
51,Female,35,Bachelor,3.02
52,Male,40,Bachelor,1.43
53,Male,28,Bachelor,2.56
54,Female,37,High School,1.1
55,Female,34,High School,1.87
56,Female,34,Bachelor,1.7
57,Female,33,PhD,2.64
58,Male,23,Bachelor,3.97
59,Other,52,High School,4.23
60,Female,54,Bachelor,3.02
61,Female,34,Bachelor,2.32
62,Male,53,High School,2.15
63,Male,27,Bachelor,2.26
64,Female,58,High School,1.68
65,Female,41,Bachelor,4.33
66,Male,37,Bachelor,2.13
67,Male,49,Master,4.26
68,Male,39,Bachelor,2.45
69,Female,38,Bachelor,2.42
70,Male,52,Master,4.45
71,Female,42,High School,4.49
72,Female,42,Master,3.55
73,Female,33,Bachelor,1.31
74,Female,47,Bachelor,4.98
75,Female,33,High School,1.39
76,Male,47,High School,1.75
77,Male,31,PhD,3.2
78,Male,28,Master,3.55
79,Male,46,High School,3.5
80,Female,54,High School,2.09
81,Female,55,Master,3.75
82,Female,23,High School,3.4
83,Male,46,Bachelor,1.33
84,Female,28,Master,2.17
85,Female,46,Bachelor,4.27
86,Female,59,Bachelor,2.37
87,Male,55,PhD,1.77
88,Male,52,Bachelor,1.11
89,Female,27,Master,2.08
90,Female,39,Bachelor,3.22
91,Male,55,Bachelor,3.23
92,Male,48,Bachelor,3.69
93,Male,50,High School,3.66
94,Male,52,High School,4.1
95,Male,52,High School,4.36
96,Female,30,High School,1.03
97,Male,58,PhD,2.34
98,Female,38,High School,4.2
99,Male,24,Bachelor,4.39
100,Other,33,Bachelor,3.19
101,Female,45,High School,3.42
102,Female,33,High School,3.63
103,Male,33,Bachelor,5.0
104,Male,58,Bachelor,2.13
105,Female,55,High School,2.3
106,Male,46,Bachelor,2.94
107,Female,22,Bachelor,2.8
108,Female,37,Bachelor,4.68
109,Male,56,Bachelor,2.7
110,Male,36,High School,1.64
111,Male,43,Bachelor,4.8
112,Male,39,Bachelor,3.51
113,Female,30,Master,4.5
114,Male,35,Bachelor,3.58
115,Female,48,Bachelor,1.58
116,Female,56,Bachelor,2.47
117,Male,26,High School,3.24
118,Male,38,PhD,4.2
119,Female,27,Bachelor,2.87
120,Male,29,Bachelor,4.37
121,Male,26,Bachelor,4.17
122,Female,25,High School,2.94
123,Female,44,Bachelor,4.47
124,Male,46,Bachelor,1.14
125,Male,28,High School,1.39
126,Male,34,High School,4.65
127,Other,59,Bachelor,4.4
128,Male,31,Bachelor,1.74
129,Male,51,High School,1.24
130,Other,29,Bachelor,1.61
131,Male,47,Master,2.84
132,Male,32,Bachelor,2.87
133,Female,55,High School,1.96
134,Female,29,High School,3.83
135,Male,24,Bachelor,3.79
136,Male,23,Bachelor,3.03
137,Female,35,Bachelor,1.25
138,Male,28,Master,4.83
139,Male,38,High School,1.12
140,Female,39,High School,4.38
141,Female,23,Bachelor,3.61
142,Male,22,PhD,4.61
143,Female,60,Bachelor,2.62
144,Female,54,High School,1.82
145,Female,26,Bachelor,2.23
146,Male,43,Master,4.36
147,Female,57,Bachelor,3.3
148,Male,58,Master,4.55
149,Female,31,Master,4.75
150,Female,55,Bachelor,3.0
151,Male,59,Bachelor,4.76
152,Male,25,Bachelor,1.02
153,Female,54,High School,4.44
154,Male,60,Bachelor,4.88
155,Male,51,Bachelor,3.78
156,Female,35,Master,1.05
157,Male,46,Bachelor,1.79
158,Female,39,Bachelor,3.34
159,Female,41,Master,4.04
160,Female,30,Master,4.15
161,Male,36,Master,2.85
162,Male,32,Bachelor,2.04
163,Male,44,Bachelor,1.78
164,Male,37,High School,1.97
165,Male,26,High School,1.82
166,Female,30,High School,3.49
167,Male,36,High School,1.14
168,Male,31,Bachelor,1.97
169,Female,39,High School,4.25
170,Female,34,High School,2.59
171,Male,23,Bachelor,4.72
172,Male,22,Bachelor,3.63
173,Male,43,PhD,2.24
174,Female,26,High School,3.36
175,Female,30,Bachelor,3.85
176,Female,48,Bachelor,3.59
177,Female,54,Bachelor,3.79
178,Male,25,Bachelor,1.14
179,Other,48,Bachelor,1.3
180,Female,53,Master,2.89
181,Male,28,Bachelor,2.39
182,Male,57,Bachelor,4.28
183,Male,48,Bachelor,2.47
