Employee_ID,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Promotions
1,32,22,2,0,0
2,34,13,14,100,2
3,27,6,3,50,0
4,10,28,12,100,1
5,11,29,13,100,1
6,31,8,0,100,0
7,20,29,2,0,0
8,46,7,8,100,0
9,23,21,14,0,1
10,33,2,6,75,2
11,1,5,0,25,1
12,13,2,13,25,0
13,11,16,1,75,2
14,30,5,13,25,1
15,49,13,1,100,1
16,41,9,13,50,1
17,26,29,12,0,2
18,36,6,12,75,0
19,9,24,1,75,0
20,0,9,1,0,0
21,28,13,13,50,2
22,22,9,2,25,0
23,40,9,13,0,2
24,2,28,8,25,2
25,21,24,11,25,1
26,24,0,13,25,2
27,24,23,6,0,1
28,42,3,10,75,2
29,34,14,6,50,1
30,25,29,9,25,2
31,15,25,2,50,2
32,25,7,7,50,0
33,49,16,14,50,0
34,26,24,8,75,2
35,13,0,10,75,1
36,9,18,11,100,1
37,42,10,2,0,1
38,6,15,7,0,0
39,7,1,1,0,1
40,2,2,8,100,1
41,45,9,13,0,2
42,10,6,2,25,2
43,48,4,6,75,0
44,25,2,3,0,0
45,7,29,3,25,1
46,19,11,6,75,1
47,19,26,1,75,2
48,31,20,2,75,2
49,49,0,2,100,1
50,10,19,13,50,0
51,26,29,4,100,1
52,9,12,8,25,1
53,34,4,3,0,0
54,22,0,8,100,1
55,26,6,6,25,1
56,18,21,3,75,0
57,46,28,8,75,2
58,42,8,12,0,2
59,7,5,2,25,2
60,17,19,8,50,1
61,17,14,4,50,1
62,44,0,13,75,2
63,29,12,0,75,1
64,10,14,9,25,0
65,37,13,9,75,0
66,32,4,3,25,1
67,30,19,0,75,0
68,10,17,14,50,2
69,6,9,6,0,0
70,2,13,11,25,0
71,20,13,8,100,1
72,1,16,11,50,2
73,42,15,1,0,0
74,6,15,1,0,1
75,6,24,10,75,1
76,36,22,3,100,1
77,46,19,0,50,0
78,28,6,6,25,1
79,36,27,13,25,2
80,27,5,6,0,1
81,12,25,6,100,0
82,19,14,14,100,0
83,24,10,13,0,0
84,38,22,14,100,2
85,16,13,13,100,1
86,11,7,4,100,2
87,1,9,1,25,2
88,45,2,4,50,0
89,1,25,5,0,1
90,11,10,2,100,0
91,42,5,6,0,2
92,11,26,12,100,1
93,9,29,7,25,2
94,19,10,7,50,1
95,4,19,10,0,0
96,24,20,2,50,2
97,24,16,12,50,0
98,31,12,10,75,0
99,33,0,9,0,1
100,9,10,14,25,1
101,0,18,14,75,0
102,31,11,3,0,1
103,45,29,2,75,2
104,44,18,13,100,1
105,1,1,0,0,1
106,1,6,9,50,0
107,8,17,12,100,0
108,26,7,9,100,2
109,24,2,11,75,1
110,32,28,5,50,0
111,33,4,7,25,2
112,5,25,12,75,0
113,14,12,8,25,0
114,14,0,14,75,2
115,24,1,0,25,1
116,5,29,8,100,0
117,4,15,3,75,2
118,44,17,3,0,1
119,12,27,10,25,1
120,15,6,1,25,0
121,2,12,6,75,1
122,42,4,11,75,1
123,11,28,5,0,1
124,31,19,7,75,0
125,4,12,7,0,2
126,6,3,12,0,0
127,44,17,0,100,0
128,27,22,6,100,2
129,8,7,6,50,2
130,10,25,1,100,2
131,14,27,6,50,2
132,14,28,5,25,0
133,9,15,9,75,0
134,41,13,2,25,1
135,24,0,12,25,0
136,28,29,1,0,0
137,21,17,2,25,1
138,9,12,2,100,2
139,24,23,0,100,0
140,4,5,5,50,0
141,20,11,1,25,1
142,6,8,14,50,1
143,27,19,2,50,0
144,49,27,3,75,2
145,18,15,11,50,0
146,30,12,4,25,2
147,41,7,13,0,0
148,26,25,6,100,2
149,3,13,0,50,2
150,17,21,12,100,0
151,11,15,13,50,0
152,10,10,0,50,1
153,49,22,14,100,2
154,19,1,7,100,2
155,49,17,1,75,2
156,30,24,8,100,1
157,5,7,1,25,0
158,45,14,5,50,2
159,36,21,12,100,0
160,28,17,1,100,0
161,43,27,10,100,1
162,35,20,10,0,2
163,46,15,14,50,0
164,33,2,2,0,1
165,26,23,0,100,0
166,29,23,9,75,2
167,44,1,6,50,1
168,48,25,0,25,0
169,17,23,5,75,0
170,22,26,2,25,2
171,49,9,11,50,2
172,23,17,3,25,2
173,17,1,8,25,1
174,30,18,11,0,0
175,48,21,1,100,2
176,14,12,12,75,1
177,2,7,8,100,1
178,42,14,9,100,0
179,21,8,13,50,2
180,36,25,3,0,2
181,13,13,5,0,1
182,38,9,8,50,2
183,26,29,4,75,1
184,27,17,7,25,2
185,30,1,11,75,2
186,37,7,10,100,2
187,28,22,6,100,0
188,14,8,9,25,2
189,47,15,5,50,0
190,24,24,6,100,0
191,18,0,9,0,0
192,49,24,14,25,1
193,2,22,3,0,0
194,28,26,2,50,0
195,19,22,4,0,0
196,16,24,2,50,1
197,9,8,11,75,2
198,14,22,6,75,2
199,40,28,14,50,0
200,4,26,8,100,2
201,12,14,9,100,1
202,28,21,3,0,2
203,5,20,10,75,1
204,19,18,6,75,0
205,39,2,2,50,1
206,10,21,0,0,2
207,28,1,14,50,2
208,20,7,10,0,1
209,49,24,8,50,2
210,39,13,3,0,0
211,47,26,2,50,0
212,27,9,10,100,2
213,16,10,9,75,0
214,5,11,6,75,1
215,25,1,5,0,0
216,0,22,7,100,2
217,12,17,8,75,0
218,7,11,5,25,0
219,12,5,11,0,1
220,0,27,6,50,1
221,41,7,11,25,1
222,7,2,9,100,1
223,35,25,12,100,0
224,22,23,2,50,1
225,21,20,4,75,1
226,0,11,7,25,2
227,47,18,7,25,0
228,37,8,5,75,2
229,29,3,9,75,2
230,8,27,3,75,2
231,9,6,9,0,1
232,34,28,3,25,1
233,28,20,2,75,1
234,38,10,6,25,0
235,12,9,11,75,2
236,3,28,5,0,2
237,30,3,11,25,2
238,9,23,7,75,0
239,17,18,1,50,1
240,27,19,4,75,2
241,12,9,11,0,0
242,10,24,4,50,2
243,38,28,9,25,2
244,44,4,3,50,2
245,9,7,1,100,1
246,46,26,11,0,2
247,33,20,3,25,0
248,36,5,4,100,1
249,43,15,10,25,0
250,28,4,9,50,1
251,27,14,6,100,2
252,44,23,4,0,0
253,13,27,10,0,2
254,31,26,13,50,1
255,12,24,9,25,1
256,13,8,9,100,2
257,19,16,12,25,2
258,19,22,6,75,0
259,39,25,2,100,1
260,25,6,13,75,1
