Employee_ID,Monthly_Salary,Performance_Score,Work_Hours_Per_Week,Projects_Handled,Training_Hours
1,6750.0,5,33,32,66
2,7500.0,5,34,34,61
3,5850.0,3,37,27,1
4,4800.0,2,52,10,0
5,4800.0,2,38,11,9
6,7800.0,3,46,31,95
7,5250.0,5,55,20,27
8,7200.0,2,42,46,64
9,4200.0,2,51,23,0
10,6050.0,1,41,33,53
11,7800.0,3,38,1,90
12,5250.0,5,39,13,88
13,4900.0,4,31,11,17
14,5600.0,4,33,30,26
15,4400.0,1,33,49,37
16,6000.0,2,33,41,46
17,7200.0,2,43,26,76
18,6500.0,3,47,36,54
19,5500.0,1,57,9,36
20,4200.0,2,52,0,66
21,6600.0,1,33,28,53
22,9000.0,5,30,22,20
23,6300.0,4,48,40,71
24,6600.0,2,55,2,78
25,4800.0,2,50,21,49
26,6750.0,5,59,24,9
27,7200.0,2,59,24,26
28,7800.0,3,44,42,45
29,5400.0,2,31,34,42
30,5200.0,3,45,25,37
31,6050.0,1,38,15,16
32,8400.0,4,39,25,22
33,4800.0,2,48,49,37
34,8400.0,4,44,26,37
35,5600.0,4,34,13,36
36,9000.0,5,31,9,21
37,6600.0,2,53,42,18
38,6600.0,2,31,6,48
39,4950.0,1,46,7,6
40,9000.0,5,44,2,85
41,4800.0,2,59,45,28
42,6300.0,4,33,10,28
43,7800.0,3,46,48,21
44,7800.0,3,43,25,85
45,6000.0,2,58,7,4
46,5400.0,2,31,19,90
47,4900.0,4,41,19,21
48,4950.0,1,45,31,82
49,6750.0,5,59,49,13
50,6000.0,2,53,10,15
51,6050.0,1,55,26,28
52,6000.0,2,46,9,18
53,7150.0,3,38,34,12
54,4200.0,2,50,22,92
55,5250.0,5,32,26,68
56,6500.0,3,41,18,7
57,4950.0,1,33,46,36
58,7000.0,4,32,42,27
59,4550.0,3,53,7,74
60,6600.0,1,51,17,99
61,6600.0,2,40,17,20
62,6750.0,5,43,44,75
63,7800.0,3,44,29,73
64,8400.0,4,50,10,21
65,4950.0,1,41,37,3
66,4900.0,4,54,32,12
67,7200.0,2,55,30,93
68,6600.0,2,53,10,64
69,6300.0,4,52,6,9
70,6600.0,1,32,2,8
71,5500.0,1,53,20,75
72,5600.0,4,53,1,15
73,6000.0,2,36,42,41
